"STATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT11"
"USC00280907","2022-03-01",,,,,"0.00","0.0","0.0",,"34","23","26",,,,,,,,,,,
"USC00280907","2022-03-02",,,,,"0.00","0.0","0.0",,"45","26","36",,,,,,,,,,,
"USC00280907","2022-03-03",,,,,"0.07","0.0","0.0",,"49","36","37",,,,,,,,,,,
"USC00280907","2022-03-04",,,,,"0.00","0.0","0.0",,"39","18","18",,,,,,,,,,,
"USC00280907","2022-03-05",,,,,"0.00","0.0","0.0",,"36","18","21",,,,,,,,,,,
"USC00280907","2022-03-06",,,,,"0.00","0.0","0.0",,"47","21","39",,,,,,,,,,,
"USC00280907","2022-03-07",,,,,"0.06","0.0","0.0",,"63","39","53",,,,,,,,,,,
"USC00280907","2022-03-08",,,,,"0.12","0.0","0.0",,"71","37","37",,,,,,,,,,,
"USC00280907","2022-03-09",,,,,"0.00","0.0","0.0",,"44","33","36",,,,,,,,,,,
"USC00280907","2022-03-10",,,,,"0.63","2.0","2.0",,"36","26","27",,,,,,,,,,,
"USC00280907","2022-03-11",,,,,"0.00","0.0","0.0",,"49","27","29",,,,,,,,,,,
"USC00280907","2022-03-12",,,,,"0.03","0.0","0.0",,"57","28","42",,,,,,,,,,,
"USC00280907","2022-03-13",,,,,"0.25","1.5","2.0",,"42","21","22",,,,,,,,,,,
"USC00280907","2022-03-14",,,,,"0.00","0.0","1.0",,"32","22","30",,,,,,,,,,,
"USC00280907","2022-03-15",,,,,"0.00","0.0","0.0",,"53","26","36",,,,,,,,,,,
"USC00280907","2022-03-16",,,,,"0.00","0.0","0.0",,"66","36","43",,,,,,,,,,,
"USC00280907","2022-03-17",,,,,"0.00","0.0","0.0",,"68","39","44",,,,,,,,,,,
"USC00280907","2022-03-18",,,,,"0.28","0.0","0.0",,"54","44","46",,,,,,,,,,,
"USC00280907","2022-03-19",,,,,"0.02","0.0","0.0",,"72","46","50",,,,,,,,,,,
"USC00280907","2022-03-20",,,,,"0.19","0.0","0.0",,"72","48","52",,,,,,,,,,,
"USC00280907","2022-03-21",,,,,"0.00","0.0","0.0",,"54","42","42",,,,,,,,,,,
"USC00280907","2022-03-22",,,,,"0.00","0.0","0.0",,"60","41","43",,,,,,,,,,,
"USC00280907","2022-03-23",,,,,"0.00","0.0","0.0",,"57","34","38",,,,,,,,,,,
"USC00280907","2022-03-24",,,,,"0.32","0.0","0.0",,"48","36","39",,,,,,,,,,,
"USC00280907","2022-03-25",,,,,"0.24","0.0","0.0",,"45","39","44",,,,,,,,,,,
"USC00280907","2022-03-26",,,,,"0.00","0.0","0.0",,"56","44","45",,,,,,,,,,,
"USC00280907","2022-03-27",,,,,"0.00","0.0","0.0",,"52","38","38",,,,,,,,,,,
